millis,date,price
1282089600,2010-08-17,0.07
1282176000,2010-08-18,0.07
1282262400,2010-08-19,0.07
1282348800,2010-08-20,0.07
1282435200,2010-08-21,0.07
1282521600,2010-08-22,0.07
1282608000,2010-08-23,0.07
1282694400,2010-08-24,0.07
1282780800,2010-08-25,0.07
1282867200,2010-08-26,0.07
1282953600,2010-08-27,0.07
1283040000,2010-08-28,0.06
1283126400,2010-08-29,0.07
1283212800,2010-08-30,0.07
1283299200,2010-08-31,0.06
1283385600,2010-09-01,0.06
1283472000,2010-09-02,0.06
1283558400,2010-09-03,0.06
1283644800,2010-09-04,0.06
1283731200,2010-09-05,0.06
1283817600,2010-09-06,0.06
1283904000,2010-09-07,0.06
1283990400,2010-09-08,0.06
1284076800,2010-09-09,0.06
1284163200,2010-09-10,0.06
1284249600,2010-09-11,0.06
1284336000,2010-09-12,0.06
1284422400,2010-09-13,0.06
1284508800,2010-09-14,0.09
1284595200,2010-09-15,0.15
1284681600,2010-09-16,0.06
1284768000,2010-09-17,0.06
1284854400,2010-09-18,0.06
1284940800,2010-09-19,0.06
1285027200,2010-09-20,0.06
1285113600,2010-09-21,0.06
1285200000,2010-09-22,0.06
1285286400,2010-09-23,0.06
1285372800,2010-09-24,0.06
1285459200,2010-09-25,0.06
1285545600,2010-09-26,0.06
1285632000,2010-09-27,0.06
1285718400,2010-09-28,0.06
1285804800,2010-09-29,0.06
1285891200,2010-09-30,0.06
1285977600,2010-10-01,0.06
1286064000,2010-10-02,0.06
1286150400,2010-10-03,0.06
1286236800,2010-10-04,0.06
1286323200,2010-10-05,0.06
1286409600,2010-10-06,0.06
1286496000,2010-10-07,0.07
1286582400,2010-10-08,0.1
1286668800,2010-10-09,0.12
1286755200,2010-10-10,0.12
1286841600,2010-10-11,0.12
1286928000,2010-10-12,0.1
1287014400,2010-10-13,0.1
1287100800,2010-10-14,0.11
1287187200,2010-10-15,0.12
1287273600,2010-10-16,0.11
1287360000,2010-10-17,0.1
1287446400,2010-10-18,0.1
1287532800,2010-10-19,0.1
1287619200,2010-10-20,0.1
1287705600,2010-10-21,0.11
1287792000,2010-10-22,0.11
1287878400,2010-10-23,0.13
1287964800,2010-10-24,0.18
1288051200,2010-10-25,0.16
1288137600,2010-10-26,0.19
1288224000,2010-10-27,0.19
1288310400,2010-10-28,0.19
1288396800,2010-10-29,0.19
1288483200,2010-10-30,0.19
1288569600,2010-10-31,0.2
1288656000,2010-11-01,0.2
1288742400,2010-11-02,0.21
1288828800,2010-11-03,0.27
1288915200,2010-11-04,0.24
1289001600,2010-11-05,0.25
1289088000,2010-11-06,0.34
1289174400,2010-11-07,0.47
1289260800,2010-11-08,0.36
1289347200,2010-11-09,0.32
1289433600,2010-11-10,0.26
1289520000,2010-11-11,0.24
1289606400,2010-11-12,0.26
1289692800,2010-11-13,0.3
1289779200,2010-11-14,0.3
1289865600,2010-11-15,0.28
1289952000,2010-11-16,0.28
1290038400,2010-11-17,0.28
1290124800,2010-11-18,0.29
1290211200,2010-11-19,0.28
1290297600,2010-11-20,0.29
1290384000,2010-11-21,0.29
1290470400,2010-11-22,0.28
1290556800,2010-11-23,0.29
1290643200,2010-11-24,0.28
1290729600,2010-11-25,0.28
1290816000,2010-11-26,0.29
1290902400,2010-11-27,0.28
1290988800,2010-11-28,0.28
1291075200,2010-11-29,0.28
1291161600,2010-11-30,0.26
1291248000,2010-12-01,0.23
1291334400,2010-12-02,0.25
1291420800,2010-12-03,0.26
1291507200,2010-12-04,0.25
1291593600,2010-12-05,0.23
1291680000,2010-12-06,0.23
1291766400,2010-12-07,0.23
1291852800,2010-12-08,0.25
1291939200,2010-12-09,0.23
1292025600,2010-12-10,0.21
1292112000,2010-12-11,0.23
1292198400,2010-12-12,0.23
1292284800,2010-12-13,0.23
1292371200,2010-12-14,0.23
1292457600,2010-12-15,0.25
1292544000,2010-12-16,0.25
1292630400,2010-12-17,0.25
1292716800,2010-12-18,0.25
1292803200,2010-12-19,0.26
1292889600,2010-12-20,0.27
1292976000,2010-12-21,0.27
1293062400,2010-12-22,0.26
1293148800,2010-12-23,0.25
1293235200,2010-12-24,0.25
1293321600,2010-12-25,0.25
1293408000,2010-12-26,0.27
1293494400,2010-12-27,0.27
1293580800,2010-12-28,0.29
1293667200,2010-12-29,0.3
1293753600,2010-12-30,0.3
1293840000,2010-12-31,0.3
1293926400,2011-01-01,0.3
1294012800,2011-01-02,0.3
1294099200,2011-01-03,0.3
1294185600,2011-01-04,0.3
1294272000,2011-01-05,0.3
1294358400,2011-01-06,0.3
1294444800,2011-01-07,0.32
1294531200,2011-01-08,0.32
1294617600,2011-01-09,0.32
1294704000,2011-01-10,0.33
1294790400,2011-01-11,0.33
1294876800,2011-01-12,0.36
1294963200,2011-01-13,0.42
1295049600,2011-01-14,0.44
1295136000,2011-01-15,0.4
1295222400,2011-01-16,0.4
1295308800,2011-01-17,0.4
1295395200,2011-01-18,0.38
