date,feeInBitcoins
2010-07-18,0.00197619
2010-07-19,0.00017045
2010-07-20,0.00015152
2010-07-21,0.00019438
2010-07-22,0.00022670
2010-07-23,0.00002433
2010-07-24,0.00001119
2010-07-25,0.00159078
2010-07-26,0.00323340
2010-07-27,0.00157277
2010-07-28,0.00053819
2010-07-29,0.00047670
2010-07-30,0.00089231
2010-07-31,0.00101695
2010-08-01,0.00085165
2010-08-02,0.00052764
2010-08-03,0.00032407
2010-08-04,0.00047836
2010-08-05,0.00040777
2010-08-06,0.00058496
2010-08-07,0.00846154
2010-08-08,0.00590793
2010-08-09,0.01018868
2010-08-10,0.01270588
2010-08-11,0.01048544
2010-08-12,0.01102041
2010-08-13,0.00837209
2010-08-14,0.00995392
2010-08-15,0.01371429
2010-08-16,0.00147903
2010-08-17,0.00210692
2010-08-18,0.00413793
2010-08-19,0.00480000
2010-08-20,0.00368794
2010-08-21,0.00456140
2010-08-22,0.00426230
2010-08-23,0.00422764
2010-08-24,0.00211082
2010-08-25,0.00219178
2010-08-26,0.00217391
2010-08-27,0.00272109
2010-08-28,0.00000000
2010-08-29,0.00088462
2010-08-30,0.00109422
2010-08-31,0.00045352
2010-09-01,0.00021053
2010-09-02,0.00024922
2010-09-03,0.00025078
2010-09-04,0.00029197
2010-09-05,0.00003215
2010-09-06,0.00000000
2010-09-07,0.00000000
2010-09-08,0.00000000
2010-09-09,0.00033951
2010-09-10,0.00000000
2010-09-11,0.00000000
2010-09-12,0.00039578
2010-09-13,0.00000000
2010-09-14,0.00002265
2010-09-15,0.00002233
2010-09-16,0.00002193
2010-09-17,0.00002660
2010-09-18,0.00045113
2010-09-19,0.00050704
2010-09-20,0.00038710
2010-09-21,0.00000000
2010-09-22,0.00000000
2010-09-23,0.00000000
2010-09-24,0.00000000
2010-09-25,0.00000000
2010-09-26,0.00000000
2010-09-27,0.00003317
2010-09-28,0.00293279
2010-09-29,0.00147692
2010-09-30,0.00394521
2010-10-01,0.00095890
2010-10-02,0.00001551
2010-10-03,0.00002060
2010-10-04,0.00000000
2010-10-05,0.00000000
2010-10-06,0.00000000
2010-10-07,0.00000000
2010-10-08,0.00000000
2010-10-09,0.00000000
2010-10-10,0.00000000
2010-10-11,0.00000000
2010-10-12,0.00000000
2010-10-13,0.00096154
2010-10-14,0.00095368
2010-10-15,0.00106707
2010-10-16,0.00079365
2010-10-17,0.00076586
2010-10-18,0.00003454
2010-10-19,0.00002165
2010-10-20,0.00002805
2010-10-21,0.00001407
2010-10-22,0.00001290
2010-10-23,0.00009671
2010-10-24,0.00009058
2010-10-25,0.00012195
2010-10-26,0.00009653
2010-10-27,0.00008803
2010-10-28,0.00010288
2010-10-29,0.00010707
2010-10-30,0.00011737
2010-10-31,0.00016287
2010-11-01,0.00014245
2010-11-02,0.00017483
2010-11-03,0.00014409
2010-11-04,0.00014620
2010-11-05,0.00011312
2010-11-06,0.00012690
2010-11-07,0.00011086
2010-11-08,0.00161165
2010-11-09,0.00202934
2010-11-10,0.00209068
2010-11-11,0.00210127
2010-11-12,0.00290210
2010-11-13,0.00241983
2010-11-14,0.00199519
2010-11-15,0.00009854
2010-11-16,0.00005272
2010-11-17,0.00110345
2010-11-18,0.00032129
2010-11-19,0.00000831
2010-11-20,0.00010276
2010-11-21,0.00010354
2010-11-22,0.00163265
2010-11-23,0.00140762
2010-11-24,0.00004827
2010-11-25,0.00003813
2010-11-26,0.00028158
2010-11-27,0.00004494
2010-11-28,0.00004405
2010-11-29,0.00006608
2010-11-30,0.00002203
2010-12-01,0.00007813
2010-12-02,0.00013043
2010-12-03,0.00002604
2010-12-04,0.00002609
2010-12-05,0.00006912
2010-12-06,0.00009718
2010-12-07,0.00014336
2010-12-08,0.00007648
2010-12-09,0.00007669
2010-12-10,0.00018767
2010-12-11,0.00021318
2010-12-12,0.00023106
2010-12-13,0.00048216
2010-12-14,0.00007680
2010-12-15,0.00010248
2010-12-16,0.00019505
2010-12-17,0.00050743
2010-12-18,0.00013334
2010-12-19,0.00020988
2010-12-20,0.00007188
2010-12-21,0.00017460
2010-12-22,0.00026924
2010-12-23,0.00011561
2010-12-24,0.00014744
2010-12-25,0.00010636
2010-12-26,0.00016378
2010-12-27,0.00014571
2010-12-28,0.00015642
