date,price,circulation,capital,circulationBurned,capitalOutflow,calculatedPrice
"May 8, 2022",1.00,18700000000,18700000000,0,0,1
"May 9, 2022",0.793393,17954877623,14245274221.9448,"745,122,377","4,454,725,778.0552",0.793392999999998
"May 10, 2022",0.799919,17146278434,13715633898.6468,"808,599,189","529,640,323.298",0.799918999999997
"May 11, 2022",0.801137,16342175373,13092321351.7991,"804,103,061","623,312,546.8477",0.801137
"May 12, 2022",0.408584,15539885586,6349348612.27022,"802,289,787","6,742,972,739.52888",0.408584
"May 13, 2022",0.154002,14738764586,2269799223.77317,"801,121,000","4,079,549,388.49705",0.154002
"May 14, 2022",0.196442,11436858586,2246679374.35101,"3,301,906,000","23,119,849.42216",0.196442
"May 15, 2022",0.176657,11334940586,2002396599.101,"101,918,000","244,282,775.25001",0.176657
"May 16, 2022",0.126434,11334940586,1433121878.05032,,"569,274,721.05068",0.126434
"May 17, 2022",0.120309,11334940586,1363695366.96107,,"69,426,511.08925",0.120309
"May 18, 2022",0.090961,11334940586,1031037530.64315,,"332,657,836.31792",0.0909610000000004
"May 19, 2022",0.076013,11334940586,861602838.763618,,"169,434,691.879532",0.076013
"May 20, 2022",0.066265,11334940586,751109837.93129,,"110,493,000.832328",0.066265
"May 21, 2022",0.056482,11334940586,640220114.178452,,"110,889,723.752838",0.056482
"May 22, 2022",0.05429,11334940586,615373924.41394,,"24,846,189.764512",0.05429
"May 23, 2022",0.05137,11334940586,582275897.90282,,"33,098,026.51112",0.05137
"May 24, 2022",0.049003,11334940586,555446093.535758,,"26,829,804.367062",0.049003
"May 25, 2022",0.04631,11334940586,524921098.53766,,"30,524,994.998098",0.04631
"May 26, 2022",0.043919,11334940586,497819255.596534,,"27,101,842.941126",0.043919
"May 27, 2022",0.034802,11334940586,394478602.273972,,"103,340,653.322562",0.034802
"May 28, 2022",0.028786,11334940586,326287599.708596,,"68,191,002.565376",0.028786
"May 29, 2022",0.026768,11334940586,303413689.606048,,"22,873,910.102548",0.026768
"May 30, 2022",0.025113,11334940586,284654362.936218,,"18,759,326.66983",0.025113
"May 31, 2022",0.021439,11334940586,243009791.223254,,"41,644,571.712964",0.021439
"Jun 1, 2022",0.019059,11334940586,216032632.628574,,"26,977,158.59468",0.019059
"Jun 2, 2022",0.018049,11334940586,204584342.636714,,"11,448,289.99186",0.018049
"Jun 3, 2022",0.017039,11334940586,193136052.644854,,"11,448,289.99186",0.017039
"Jun 4, 2022",0.016029,11334940586,181687762.652994,,"11,448,289.99186",0.016029
"Jun 5, 2022",0.015896,11334940586,180180215.555056,,"1,507,547.097938",0.015896
"Jun 6, 2022",0.014801,11334940586,167768455.613386,,"12,411,759.94167",0.014801
"Jun 7, 2022",0.013431,11334940586,152239587.010566,,"15,528,868.60282",0.013431
"Jun 8, 2022",0.005796,11334940586,65697315.636456,,"86,542,271.37411",0.005796
"Jun 9, 2022",0.001,11334940586,11334940.586,,"54,362,375.050456",0.001
