date,open,high,low,close
"May 1, 2022",0.999779,1.002559,0.997579,1.001649
"May 2, 2022",1.001566,1.002737,0.998047,1.001400
"May 3, 2022",0.998947,1.002383,0.998086,1.000244
"May 4, 2022",1.000025,1.002482,0.996594,0.999365
"May 5, 2022",1.000741,1.003327,0.997857,0.999546
"May 6, 2022",0.999828,1.002500,0.998088,0.999624
"May 7, 2022",0.999887,1.002461,0.992732,0.996868
"May 8, 2022",0.996907,0.999651,0.990503,0.996401
"May 9, 2022",0.995427,0.999014,0.793393,0.793393
"May 10, 2022",0.805948,0.948554,0.684081,0.799919
"May 11, 2022",0.799372,0.847420,0.299838,0.801137
"May 12, 2022",0.801058,0.829403,0.362599,0.408584
"May 13, 2022",0.405539,0.406917,0.133137,0.154002
"May 14, 2022",0.161857,0.255240,0.148268,0.196442
"May 15, 2022",0.195970,0.261274,0.170348,0.176657
"May 16, 2022",0.176645,0.186560,0.094398,0.126434
"May 17, 2022",0.126539,0.156225,0.107773,0.130309
"May 18, 2022",0.130311,0.314155,0.087842,0.090961
"May 19, 2022",0.090992,0.115120,0.076013,0.076013
"May 20, 2022",0.076063,0.091723,0.061305,0.066265
"May 21, 2022",0.066214,0.066214,0.050864,0.056482
"May 22, 2022",0.057528,0.073460,0.051067,0.064290
"May 23, 2022",0.064277,0.082409,0.054462,0.071370
"May 24, 2022",0.071222,0.092502,0.061709,0.070003
"May 25, 2022",0.069608,0.322060,0.067550,0.094631
"May 26, 2022",0.094732,0.534733,0.048005,0.063919
"May 27, 2022",0.063992,0.064005,0.032765,0.034802
"May 28, 2022",0.040065,0.040734,0.018463,0.028786
"May 29, 2022",0.028661,0.031145,0.023304,0.026768
"May 30, 2022",0.026766,0.033008,0.025013,0.025113
"May 31, 2022",0.025050,0.026282,0.020854,0.021439
"Jun 1, 2022",0.021445,0.021768,0.015050,0.016059
"Jun 2, 2022",0.016053,0.020449,0.014541,0.019940
"Jun 3, 2022",0.019758,0.021324,0.017184,0.019335
"Jun 4, 2022",0.019336,0.019737,0.017668,0.018234
"Jun 5, 2022",0.018235,0.018375,0.015679,0.015896
"Jun 6, 2022",0.015894,0.017266,0.015652,0.015801
"Jun 7, 2022",0.015779,0.016148,0.013346,0.013431
"Jun 8, 2022",0.013421,0.013421,0.009796,0.009796
"Jun 9, 2022",0.009792,0.011992,0.009257,0.011466
"Jun 10, 2022",0.011467,0.011578,0.009606,0.009699
"Jun 11, 2022",0.009703,0.009973,0.008632,0.008720
"Jun 12, 2022",0.008720,0.010960,0.008088,0.009822
"Jun 13, 2022",0.009819,0.009819,0.008210,0.008378
"Jun 14, 2022",0.008381,0.008723,0.007862,0.008099
"Jun 15, 2022",0.008107,0.008157,0.006925,0.007789
"Jun 16, 2022",0.007791,0.008139,0.006918,0.006929
